YYYY-MMM,KWH
2014-Jan,10309223.9053935
2014-Feb,8614555.28526941
2014-Mar,7191841.35880967
2014-Apr,6005025.18807884
2014-May,5942144.56364121
2014-Jun,8202185.63935753
2014-Jul,9490184.1812023
2014-Aug,9981834.02010681
2014-Sep,8494630.94911713
2014-Oct,5871705.01225627
2014-Nov,6151635.76173434
2014-Dec,8417913.16229563
