Doctor Who season,doctor actor,ep. no,episode title,from ,estimated from,to,estimated?,planet,sub location,location,notes,source,,,,,,,
3,Pertwee,66,Carnival of Monsters,1972,,1928,n,"Indian Ocean, Planet Inter Minor","Ocean, alien planet",,"Actually inside a simulation of 1928. 1970s
",http://tardis.wikia.com/wiki/Carnival_of_Monsters,,,,,,,
2,Troughton,38,The Abominable Snowmen,1930,1966,1930,y,Earth,,Tibet,"early 1930s (same time, no trips)",http://tardis.wikia.com/wiki/The_Abominable_Snowmen,,,,,,,
10,Tennant,304,Daleks in Manhattan,1930,5000000053,1930,,Earth,USA,"Manhattan, New York",,http://who-transcripts.atspace.com/,,,,,,,
11,Smith,8,Let's Kill Hitler,5100,,1938,,Earth,Berlin,Germany,,,,,,,,,
,Eccleston,164,The Empty Child,2005,,1941,,Earth,England,London,,,,,,,,,
11,Smith,3,Victory of the Daleks,1941,3295,1941,,Earth,England,London,,http://tardis.wikia.com/wiki/Victory_of_the_Daleks,,,,,,,
11,Smith,12,The Pandorica Opens,1890,,1941,,Earth,,France to London,,http://tardis.wikia.com/wiki/The_Pandorica_Opens_%28TV_story%29,,,,,,,
7,McCoy,154,The Curse of Fenric ,1943,1983,1943,,Earth,England,"Maiden's Point, Northumberland",,,,,,,,,
10,Tennant,206,The Idiot's Lantern,1953,2007,1953,,Earth,England,London,,"dvd - ""eve of the coronation""",,,,,,,
1,Hartnell,9,Planet of The Giants,1794,,1963,,Earth,,,,,,,,,,,
7,McCoy,148,Remembrance of the Daleks ,1963,4687,1963,,Earth,England,London,,,,,,,,,
1,Hartnell,21,The Daleks' Master Plan,4000,,1965,,Earth,UK,Liverpool,dec25th 1965,http://tardis.wikia.com/wiki/Season_Three,,,,,,,
1,Hartnell,27,The War Machines ,1966,1881,1966,,Earth,UK,London,,http://tardis.wikia.com/wiki/Season_Three,,,,,,,
2,Troughton,35,The Faceless Ones,1966,2070,1966,y,Earth,"UK
","Gatwick Airport
Earth orbit",,http://tardis.wikia.com/wiki/The_Faceless_Ones,,,,,,,
2,Troughton,36,The Evil Of The Daleks,1866,,1966,y,Earth,UK,"London
Skaro",,http://tardis.wikia.com/wiki/The_Evil_of_the_Daleks,,,,,,,
2,Troughton,42,Fury From The Deep,1967,1970,1967,y,Earth,UK,North Sea,"The story takes place when North Sea gas is being supplied to England, which commenced in 1967, but before decimalisation in the UK","http://tardis.wikia.com/wiki/Fury_from_the_Deep
http://en.wikipedia.org/wiki/Chronology_of_the_Doctor_Who_universe",,,,,,,
,Tennant,,,2007,,1969,,Earth,England,London,,,,,,,,,
11,Smith,1,The Impossible Astronaut,2011,,1969,y,Earth,England and USA,London to Utah,,,,,,,,,
11,Smith,13,The Wedding of River Song,5100,,1969,y,Earth,Utah,Amercia,,,,,,,,,
